Time;Ecg 1;Ecg 2
18:43:02.022;822.0;903.0
18:43:02.062;458.0;114.0
18:43:02.102;257.0;-195.0
18:43:02.142;229.0;-282.0
18:43:02.182;174.0;-433.0
18:43:02.222;130.0;-529.0
18:43:02.262;1.0;-686.0
18:43:02.302;-136.0;-815.0
18:43:02.342;-303.0;-964.0
18:43:02.382;-405.0;-838.0
18:43:02.422;-298.0;-591.0
18:43:02.462;-605.0;-1075.0
18:43:02.502;-712.0;-1406.0
18:43:02.542;-1963.0;6087.0
18:43:02.582;-1234.0;2122.0
18:43:02.622;-646.0;279.0
18:43:02.662;-127.0;-348.0
18:43:02.702;453.0;-138.0
18:43:02.742;939.0;626.0
18:43:02.782;882.0;854.0
18:43:02.822;346.0;33.0
18:43:02.862;-154.0;-656.0
18:43:02.902;-302.0;-808.0
18:43:02.942;-271.0;-731.0
18:43:02.982;-208.0;-678.0
18:43:03.022;-65.0;-616.0
18:43:03.062;38.0;-503.0
18:43:03.102;111.0;-430.0
18:43:03.142;167.0;-379.0
18:43:03.182;336.0;-13.0
18:43:03.222;289.0;-72.0
18:43:03.262;30.0;-508.0
18:43:03.302;837.0;-1117.0
18:43:03.342;-1174.0;-351.0
18:43:03.382;-629.0;-588.0
18:43:03.422;-326.0;-623.0
18:43:03.462;-6.0;-319.0
18:43:03.502;425.0;346.0
18:43:03.542;748.0;1102.0
18:43:03.582;500.0;875.0
18:43:03.622;48.0;-200.0
18:43:03.662;-242.0;-788.0
18:43:03.702;-339.0;-946.0
18:43:03.742;-309.0;-864.0
18:43:03.782;-259.0;-876.0
18:43:03.822;-286.0;-851.0
18:43:03.862;-295.0;-863.0
18:43:03.902;-237.0;-735.0
18:43:03.942;-96.0;-339.0
18:43:03.982;156.0;122.0
18:43:04.022;134.0;-45.0
18:43:04.062;315.0;-175.0
18:43:04.102;-1007.0;5853.0
18:43:04.142;-283.0;2652.0
18:43:04.182;203.0;1022.0
18:43:04.222;518.0;423.0
18:43:04.262;839.0;562.0
18:43:04.302;1255.0;1055.0
18:43:04.342;994.0;1099.0
18:43:04.382;298.0;-2.0
18:43:04.422;-226.0;-908.0
18:43:04.462;-510.0;-1258.0
18:43:04.502;-647.0;-1292.0
18:43:04.542;-644.0;-1690.0
18:43:04.582;-634.0;-1476.0
18:43:04.622;-673.0;-1412.0
18:43:04.662;-665.0;-1258.0
18:43:03.512;-562.0;-1020.0
18:43:03.552;-218.0;-691.0
18:43:03.592;842.0;5482.0
18:43:03.632;354.0;2381.0
18:43:03.672;370.0;728.0
18:43:03.712;405.0;66.0
18:43:03.752;626.0;78.0
18:43:03.792;882.0;567.0
18:43:03.832;915.0;922.0
18:43:03.872;298.0;121.0
18:43:03.912;-324.0;-927.0
18:43:03.952;-629.0;-1320.0
18:43:03.992;-750.0;-1387.0
18:43:04.032;-787.0;-1436.0
18:43:04.072;-802.0;-1510.0
18:43:04.112;-786.0;-1523.0
18:43:04.152;-746.0;-1478.0
18:43:04.192;-652.0;-1352.0
18:43:04.232;-375.0;-768.0
18:43:04.272;-364.0;-723.0
18:43:04.312;-411.0;-925.0
18:43:04.352;1130.0;-1109.0
18:43:04.392;-513.0;-355.0
18:43:04.432;-91.0;-270.0
18:43:04.472;269.0;2.0
18:43:04.512;662.0;402.0
18:43:04.552;1203.0;1119.0
18:43:04.592;1422.0;1643.0
18:43:04.632;834.0;1069.0
18:43:04.672;209.0;-222.0
18:43:04.712;-258.0;-823.0
18:43:04.752;-535.0;-1024.0
18:43:04.792;-710.0;-1132.0
18:43:04.832;-819.0;-1227.0
18:43:04.872;-851.0;-1290.0
18:43:04.912;-898.0;-1213.0
18:43:04.952;-845.0;-1141.0
18:43:04.992;-591.0;-477.0
18:43:05.032;-694.0;-675.0
18:43:05.072;-719.0;-869.0
